"","temperature_of_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","abdominocentesis_appearance","outcome","surgical_lesion","cp_data","rectal_temperature","pulse","respiratory_rate","nasogastric_lreflux_PH","packed_cell_volume","total_protein","abdomcentesis_total_protein"
"21",3,3,3,1,3,4,3,3,2,3,4,2,1,1,2,38.1,60,12,2,51,65,2.8667
"22",4,3,3,2,3,3,3,2,1,3,5,2,1,1,1,38.3,72,30,3.92046,43,7,3.9
"23",3,1,1,1,3,3,2,1,1,1,3,2,1,2,1,37.8,48,12,4.16994,37,5.5,1.3
"24",2,1,1,1,1,1,1,1,1,3,4,2,1,2,2,37.7,48,25.31186,3.9854376204,45,76,3.0180558482
"25",3,3,4,2,5,4,4,3,2,4,5,2,2,1,2,37.7,96,30,4,66,7.5,3.07136
"26",3,3,4,2,2,4,2,2,3,3,3,3,3,1,1,37.2,108,12,6,52,8.2,7.4
"27",2,1,1,1,3,3,3,2,1,4,5,2,1,1,2,37.2,60,31.213636,3.90363900504,43,6.6,3.08515904132
"28",1,1,1,1,3,1,2,2,1,4,4,2,1,1,1,38.2,64,28,3.94818,49,8.6,6.6
"29",3,3,4,2,5,4,4,3,3,4,4,2,1,1,2,38.278013,100,30,3.92046,52,6.6,3.07136
"30",4,3,3,2,4,4,3,2,3,3,2,2,3,1,2,38.296157,104,24,4.00362,73,8.4,3.00314
"31",3,3,5,2,3,3,1,1,2,3,5,2,3,2,1,38.3,112,16,4.1145,51,6,1
"32",3,3,3,1,5,3,1,2,1,1,1,1,1,1,2,37.8,72,24.9717,3.990152238,56,80,2
"33",1,1,1,1,3,3,2,1,1,1,3,1,1,2,1,38.6,52,31.213636,3.90363900504,32,6.6,5
"34",3,3,6,2,5,3,3,1,3,4,5,3,2,1,2,38.223581,88,31.22214,3.9035211396,63,6.5,3.0852557318
"35",3,1,3,1,3,3,1,1,1,2,2,2,1,2,2,38,60,12,4.16994,47,7,2.8667
"36",3,4,4,1,4,4,4,1,1,3,5,2,3,1,2,38.368733,120,26.07722,3.9748297308,52,67,2
"37",3,3,4,2,4,4,2,2,1,3,5,3,3,1,2,35.4,140,24,4.00362,57,69,2
"38",4,3,4,2,5,4,4,1,1,4,5,3,2,1,2,38.368733,120,31.22214,3.9035211396,60,6.5,3.0852557318
"39",3,1,4,2,5,4,4,2,2,4,5,2,1,1,1,37.9,60,15,4.12836,65,7.5,2.90081
"40",1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,37.5,48,16,4.1145,37,6.5,2.91218
"41",3,3,3,2,2,3,3,2,2,3,1,3,2,1,2,38.9,80,44,7,54,6.5,3.23054
"42",3,3,5,2,4,1,2,1,2,2,1,2,2,2,1,37.2,84,48,3.67098,73,5.5,4.1
"43",1,1,2,1,1,3,2,1,1,3,2,1,1,2,1,38.6,46,31.001036,3.90658564104,49,9.1,1.6
"44",1,1,3,2,3,3,2,2,1,4,5,3,2,1,1,37.4,84,36,3.8373,47,7.3,3.13958
"45",1,1,3,1,1,3,1,2,1,2,2,2,1,2,2,37.9,72.884486,31.120092,3.90493552488,43,7.7,3.08409544604
"46",3,3,1,2,2,3,3,2,1,1,5,3,3,1,1,40.3,114,36,7,57,8.1,4.5
"47",3,1,5,1,3,3,4,3,1,4,4,2,2,1,1,38.6,160,20,4.05906,38,7.4,2.95766
"48",2,1,2,1,5,3,3,2,2,3,4,2,2,1,2,38.114717,64,36,3.8373,42,7.7,3.13958
"49",4,3,3,1,5,4,3,2,1,4,4,3,2,1,1,37.5,73.059482,20,4.05906,53,5.9,2.95766
"50",3,3,3,2,5,4,4,1,2,4,5,2,2,1,2,38.259869,96,30,3.92046,60,7.6,3.07136
"51",1,1,3,1,2,1,2,1,1,4,5,2,1,2,2,37.8,48,32,3.89274,37,6.7,3.0941
"52",2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,38.5,60,31.120092,3.90493552488,44,7.7,3.08409544604
"53",2,1,2,1,3,3,2,2,1,4,4,1,2,1,1,37.8,88,22,4.03134,64,8,6
"54",4,3,4,2,2,4,4,1,1,3,4,2,3,2,2,38.2,130,16,4.1145,65,82,2
"55",3,1,4,2,3,3,2,1,2,4,5,3,1,1,1,39,64,36,7,44,7.5,5
"56",3,1,3,1,3,3,2,1,1,3,4,2,1,1,2,38.096573,60,36,3.8373,26,72,1
"57",1,1,5,2,3,3,1,1,3,3,4,1,1,1,2,37.9,72,25.48194,2,58,74,2
"58",1,1,1,1,1,3,1,2,1,3,2,1,1,2,1,38.4,54,24,4.00362,49,7.2,3.00314
"59",1,1,1,1,1,3,2,1,1,3,2,2,1,2,1,38,48,12,4.16994,42,6.3,4.1
"60",3,1,3,1,3,3,3,2,2,4,4,2,3,1,1,37,60,20,4.5,43,7.6,2.95766
"61",1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,37.8,48,28,3.94818,46,5.9,7
"62",1,1,5,1,4,3,1,2,3,1,4,2,2,1,1,38.1,52,24,7,54,7.5,2.6
"63",3,3,5,2,2,3,2,2,1,3,4,2,3,1,2,39.7,100,26.92762,3.9630431868,48,57,2
"64",3,3,1,1,3,3,2,2,1,3,4,2,1,1,2,37.6,38,20,4.05906,37,68,2.95766
"65",2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,38.7,52,20,4.05906,33,77,2.95766
"66",3,3,3,3,5,3,3,3,2,4,5,2,2,1,2,38.096573,73.059482,31.273164,3.90281394696,46,5.9,3.08583587468
"67",1,3,6,2,3,4,2,2,3,3,4,3,1,1,1,37.5,96,18,5,69,8.9,2.93492
"68",3,3,4,1,4,3,2,2,1,4,4,3,2,1,1,36.4,98,35,3.85116,47,6.4,3.6
"69",3,3,1,1,2,3,2,3,1,3,5,3,1,1,2,37.3,40,20,4.05906,36,65,2
"70",3,1,2,1,3,4,1,2,1,1,4,2,1,1,2,38.1,100,80,3.22746,36,5.7,3.63986
"71",3,3,6,2,5,3,4,1,1,3,4,2,2,1,2,38,72.874764,24,4.00362,68,7.8,3.00314
"72",1,3,2,2,2,3,3,2,2,4,4,2,1,1,1,37.8,60,80,5.5,40,4.5,3.63986
"73",2,3,3,3,3,1,2,2,2,3,4,2,1,2,2,38,54,30,3.92046,45,6.2,3.07136
"74",3,3,4,2,5,4,3,3,1,4,5,3,2,1,1,38.223581,88,40,3.78186,50,7.7,1.4
"75",1,1,5,1,3,3,2,2,1,3,3,2,1,2,1,39,64,40,3.78186,42,7.5,2.3
"76",1,1,1,1,1,1,1,2,1,3,4,2,1,2,2,38.3,42,10,4.19766,38,61,2.84396
"77",3,3,1,2,2,3,3,2,1,1,5,3,2,1,1,40.3,114,36,7,57,8.1,4.5
"78",3,1,1,1,1,1,1,2,1,3,1,2,1,2,2,38.8,50,20,4.05906,42,6.2,2.95766
"79",3,3,1,1,5,3,3,1,1,4,5,2,2,1,2,38.114717,73.00115,31.22214,3.9035211396,38,6.5,3.0852557318
"80",4,1,3,1,3,2,1,1,1,1,1,2,1,2,2,37.5,48,30,3.92046,48,8.6,3.07136
"81",3,1,2,1,3,3,3,2,1,3,5,2,1,1,2,37.3,48,20,4.05906,41,69,2.95766
"82",3,1,3,1,3,3,1,2,1,3,2,2,1,1,2,38.205437,84,36,3.8373,44,8.5,3.13958
"83",3,3,4,1,2,3,3,2,3,4,5,2,3,2,2,38.1,88,32,1,55,60,3.0941
"84",2,1,3,1,1,3,2,1,1,1,5,2,1,2,2,37.7,44,40,3.78186,41,60,3.18506
"85",3,3,6,2,2,4,3,1,2,3,5,2,1,2,1,39.6,108,51,3.6294,59,8,2.6
"86",3,3,1,1,1,3,2,2,1,1,1,2,1,2,2,38.2,40,16,4.1145,34,66,2.91218
"87",4,3,4,2,5,4,2,2,1,4,5,2,3,1,2,38.096573,60,20,4.05906,55,6.8,2.95766
"88",1,1,1,1,3,3,2,2,1,2,1,2,1,1,2,38,140,68,3.39378,39,5.3,3.50342
"89",1,3,3,1,4,4,1,2,3,2,5,1,2,1,2,37.8,52,24,5.7,48,6.6,3.7
"90",1,1,3,2,2,3,2,2,1,4,5,2,1,1,2,38.141933,70,36,3.8373,36,7.3,3.13958
"91",3,3,3,1,3,3,2,1,1,1,4,2,1,1,1,38.3,52,96,3.0057,43,6.1,3.82178
"92",1,1,3,1,1,3,2,2,1,1,4,2,1,2,2,37.3,50,32,3.89274,44,7,3.0941
"93",4,3,2,2,4,4,4,2,1,4,5,3,3,1,2,38.7,60,32,3.89274,53,64,2
"94",3,3,2,1,3,3,3,1,1,3,4,2,2,1,1,38.4,84,40,3.78186,36,6.6,2.8
"95",3,4,5,2,2,3,2,2,1,4,5,2,2,1,2,38.141933,70,16,4.1145,60,7.5,2.91218
"96",3,1,3,1,1,3,2,2,1,3,4,1,1,1,2,38.3,40,16,4.1145,38,58,2
"97",2,1,1,1,1,3,1,1,1,3,5,2,1,1,2,38.005853,40,27.01266,3.9618645324,39,56,3.0373939442
"98",3,1,4,1,5,4,3,2,1,4,5,2,1,1,2,38.4,44,24,4.00362,50,77,3.00314
"99",1,1,1,1,3,3,3,2,1,4,5,2,1,1,2,38,44,12,4.16994,42,65,2.8667
"100",3,3,4,2,3,4,3,2,3,4,5,1,3,1,2,39.5,72.981706,31.205132,5.5,46.565355,6.7,3.08506235084
"101",1,1,1,1,5,3,1,2,1,3,4,2,1,1,2,36.5,78,30,3.92046,34,75,1
"102",2,1,2,1,1,3,1,1,1,3,4,2,1,2,2,38.1,56,20,4.05906,46,70,2.95766
"103",1,1,2,1,2,3,2,1,1,3,4,2,1,1,1,39.4,54,66,3.4215,39,6,3.48068
"104",3,1,6,2,4,3,1,2,2,1,4,2,3,1,2,38.3,80,40,3.78186,67,10.2,1
"105",2,1,1,1,3,1,1,2,1,1,4,1,1,2,2,38.7,40,28,3.94818,39,62,1
"106",1,1,3,1,4,4,3,2,1,4,4,1,2,1,1,38.2,64,24,4.00362,45,7.5,2
"107",3,1,4,1,1,1,3,2,1,1,1,2,3,1,2,37.6,48,20,4.05906,37,5.5,2.95766
"108",4,1,1,1,3,3,2,2,2,4,4,2,1,1,2,38,42,68,3.39378,41,7.6,3.50342
"109",3,1,3,1,5,4,2,2,1,3,4,2,1,1,2,38.7,73.00115,31.22214,3.9035211396,33,6.5,3.0852557318
"110",3,3,3,1,4,4,1,2,1,1,4,2,1,1,1,37.4,50,32,3.89274,45,7.9,1
"111",3,1,3,1,2,3,3,2,1,3,4,2,3,2,2,37.4,84,20,4.05906,31,61,1
"112",3,1,1,1,3,3,2,1,3,3,4,2,2,1,2,37.6,88,36,1.5,44,6,3.13958
"113",3,1,3,1,4,3,1,2,1,3,5,2,1,1,2,38,48,20,4.05906,43,73,1
"114",1,1,1,1,2,3,1,2,1,3,3,2,1,1,2,37.9,40,24,4.00362,40,5.7,3.00314
"115",3,3,3,1,5,1,3,2,2,2,4,2,2,1,1,38.1,136,48,4.4,33,4.9,2.9
"116",3,3,3,2,5,3,3,3,2,4,5,2,2,1,2,38.096573,73.059482,31.273164,3.90281394696,46,5.9,3.08583587468
"117",1,1,1,1,1,2,4,2,2,4,5,2,1,1,2,38,48,18,4.08678,42,65,2.91218
"118",1,2,3,1,1,1,1,1,1,1,1,2,1,2,2,38,56,25.73706,3.9795443484,42,71,3.0228903722
"119",1,1,3,1,3,3,2,1,1,3,4,1,1,2,2,38,60,32,3.89274,50,7,1
"120",3,1,1,1,2,2,1,1,1,4,5,2,1,2,2,38.1,44,9,4.21152,31,7.3,2.83259
"121",4,3,6,2,5,4,4,2,1,4,5,3,2,1,1,38.368733,120,31.39222,3.9011638308,57,4.5,3.9
"122",1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,37.8,48,28,3.94818,46,5.9,7
"123",3,3,6,1,2,4,4,3,2,4,5,2,3,2,2,37.1,84,40,2,75,81,3.18506
"124",3,3,2,1,2,3,3,2,1,3,4,2,1,1,2,38.187293,80,32,3.89274,50,80,3.0941
"125",1,3,3,1,3,4,4,1,3,4,5,2,1,1,2,38.2,48,25.73706,2,42,71,3.0228903722
"126",2,1,3,1,3,4,3,1,2,1,4,2,2,1,2,38,44,12,6.5,33,6.5,2.8667
"127",3,3,6,2,2,4,2,2,3,4,4,2,1,1,1,38.3,132,31.09458,6.2,57,8,5.2
"128",3,1,1,1,2,3,2,2,1,3,2,2,1,2,2,38.9,44,14,4.14222,33,64,2.88944
"129",4,3,6,2,4,4,2,1,3,4,4,3,2,1,1,39.3,96,31.043556,4,75,8.5,4.3
"130",3,3,4,2,3,4,4,2,1,3,4,3,1,1,2,38.278013,100,26.33234,2,68,64,2
"131",3,1,1,1,1,3,2,2,1,3,2,1,1,2,1,38.6,48,20,4.05906,50,7.3,2.95766
"132",1,1,3,1,3,3,4,2,1,3,5,2,1,1,2,38.8,48,40,3.78186,41,65,3.18506
"133",3,3,4,1,1,4,2,2,1,3,2,1,1,2,1,38,48,20,5,49,8.3,2.95766
"134",1,1,1,1,3,3,2,1,1,1,3,1,1,2,1,38.6,52,20,4.05906,36,6.6,5
"135",1,1,3,2,3,4,4,2,3,3,5,2,3,1,2,37.8,60,24,2,52,75,3.00314
"136",1,1,2,1,2,1,2,3,1,1,3,2,1,2,1,38.2,72.90393,12,4.16994,44,7.5,2.8667
"137",3,1,3,2,3,3,2,2,1,3,4,1,1,2,2,39.5,60,10,4.19766,38,56,2.84396
"138",1,3,3,1,5,3,1,1,1,3,4,3,3,1,2,38,66,20,4.05906,46,46,2
"139",1,1,5,2,3,3,2,2,2,4,4,2,1,1,1,38.7,76,31.09458,3.9052891212,50,8,3.0838053746
"140",3,1,5,1,3,3,3,1,1,4,4,1,3,2,2,39.4,120,48,3.67098,56,64,2
"141",1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,38.3,40,18,4.08678,43,5.9,2.93492
"142",1,1,1,1,3,3,1,2,1,3,1,2,1,2,2,38.023997,44,24,4.00362,46.569375,6.3,3.00314
"143",1,1,3,1,2,4,2,2,3,3,4,2,1,1,2,38.4,104,40,6.5,55,8.5,3.18506
"144",1,1,3,1,3,1,1,2,1,1,4,2,1,2,2,37.5,44,20,4.05906,35,7.2,2.95766
"145",3,3,5,1,3,3,3,2,2,3,4,3,2,1,1,39,86,16,4.1145,68,5.8,6
"146",3,3,3,1,2,4,3,1,3,3,4,3,1,1,2,38.5,129,48,2,57,66,2
"147",3,3,5,2,2,4,3,2,3,4,4,2,2,1,1,38.296157,104,31.043556,3.90599631384,69,8.6,3.4
"148",1,1,3,1,3,3,1,2,1,3,2,2,1,1,2,38.2,60,30,3.92046,48,66,3.07136
"149",3,3,4,2,5,4,4,1,1,4,4,3,1,1,2,38.096573,60,30,3.92046,45,70,2
"150",3,3,5,2,4,3,4,2,1,4,5,2,3,2,1,38.5,100,31.39222,3.9011638308,55,7.6,3.27602
"151",3,1,5,2,4,3,3,2,3,4,4,3,2,1,2,38.4,84,30,6.5,47,7.5,3.07136
"152",3,1,1,1,3,3,2,1,3,1,4,2,1,2,1,37.8,48,14,5.3,35,7.5,2.88944
"153",3,3,6,2,5,3,4,1,1,3,4,2,2,1,2,38,72.874764,24,4.00362,68,7.8,3.00314
"154",1,1,2,1,2,1,1,2,1,1,4,1,1,2,2,37.8,56,16,4.1145,44,68,1
"155",2,2,2,1,1,1,1,3,1,1,1,2,1,2,2,38.2,68,32,3.89274,43,65,3.0941
"156",2,3,1,1,3,3,1,1,2,3,4,2,1,1,2,39.3,64,90,3.08886,39,6.7,3.75356
"157",4,3,1,1,3,3,3,3,3,4,5,3,1,1,1,38.4,80,30,3.92046,32,6.1,4.3
"158",3,1,1,1,2,1,1,2,2,1,4,1,1,1,2,38.3,60,16,3,30,6,3
"159",3,1,4,1,3,3,1,1,1,3,3,3,1,1,1,37.1,40,8,4.22538,23,6.7,2.82122
"160",2,1,1,1,4,1,1,2,1,1,4,2,1,2,2,38.278013,100,44,3.72642,37,4.7,3.23054
"161",1,1,1,1,3,3,3,1,2,4,4,1,1,1,2,38.2,48,18,4.08678,48,74,2
"162",3,3,4,2,4,3,4,2,1,3,4,2,2,1,2,38.096573,60,48,3.67098,58,7.6,3.27602
"163",1,1,2,1,2,2,1,2,1,4,1,2,1,2,2,37.9,88,24,4.00362,37,56,3.00314
"164",3,1,1,1,3,1,2,2,1,1,4,2,1,2,2,38,44,12,4.16994,42,64,2.8667
"165",1,1,5,2,2,2,1,2,1,2,3,2,3,2,1,38.5,60,20,4.05906,63,7.5,2.3
"166",3,3,3,2,2,4,2,1,2,4,5,2,2,1,1,38.5,96,36,3.8373,70,8.5,3.13958
"167",1,1,1,2,1,3,1,2,1,3,4,2,1,2,2,38.3,60,20,4.05906,34,66,2.95766
"168",3,1,2,1,2,1,2,2,1,3,2,2,1,2,2,38.5,60,40,3.78186,49,59,3.18506
"169",1,1,3,1,3,1,3,2,1,3,3,2,1,1,1,37.3,48,12,4.16994,40,6.6,2.8667
"170",1,1,3,1,4,4,3,2,1,3,5,1,2,1,1,38.5,86,31.145604,3.90458192856,45,7.4,3.4
"171",1,1,1,1,2,3,1,2,1,4,1,2,1,2,2,37.2,36,9,4.21152,35,5.7,2.83259
"172",3,1,3,1,4,4,2,2,1,3,4,1,1,1,1,39.2,72.991428,23,4.01748,36,6.6,3
"173",3,3,5,2,4,3,4,2,1,4,5,2,3,2,2,38.5,100,28,3.94818,55,8.4,3.04862
"174",2,3,4,2,4,4,3,2,1,3,5,2,1,1,2,38.5,96,30,3.92046,50,65,3.07136
"175",3,3,5,2,3,3,3,2,3,4,5,2,3,1,2,37.8,88,80,3.22746,64,89,3.63986
"176",3,1,1,1,3,1,2,2,1,3,3,1,1,2,2,37.5,44,10,4.19766,43,51,1
"177",3,1,2,1,2,4,2,2,1,1,5,3,2,1,1,37.9,68,20,4.05906,45,4,2.8
"178",4,3,4,1,2,4,4,1,1,4,5,1,2,1,1,38,86,24,4.00362,45,5.5,10.1
"179",1,3,2,2,3,3,3,3,1,3,4,1,1,2,2,38.9,120,30,3,47,6.3,3.07136
"180",3,1,3,1,3,2,2,2,1,1,4,2,1,1,1,37.6,45,12,4.16994,39,7,1.5
"181",2,1,1,1,1,1,1,2,1,2,4,2,1,2,1,38.6,56,32,3.89274,40,7,2.1
"182",1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,37.8,40,12,4.16994,38,7,2.8667
"183",3,3,4,1,3,4,3,2,1,4,4,2,1,1,2,38.060285,52,28,3.94818,37,8.1,3.04862
"184",4,3,3,1,2,4,3,2,1,4,4,2,1,1,2,38.5,92,40,3.78186,46,67,2
"185",4,4,4,1,2,3,1,2,1,4,4,3,1,1,1,38.332445,112,13,4.5,60,6.3,2.87807
"186",1,1,3,1,3,3,2,2,1,4,4,2,1,1,1,37.7,66,12,4.16994,31.5,6.2,1.6
"187",1,1,1,1,3,1,1,1,1,3,5,2,1,1,2,38.8,50,14,4.14222,38,58,2.88944
"188",1,1,1,1,1,3,1,2,1,3,2,1,1,2,1,38.4,54,24,4.00362,49,7.2,8
"189",4,3,5,2,2,3,3,1,3,3,4,3,2,1,2,39.2,120,20,4.05906,60,8.8,2.95766
"190",3,1,6,2,5,4,3,2,2,1,5,3,3,1,2,37.3,90,40,3.78186,65,50,2
"191",3,3,6,1,5,4,1,2,3,4,4,2,2,2,2,39.5,92,28,3.94818,72,6.4,3.6
"192",4,3,3,2,3,3,3,2,1,3,5,2,1,1,1,38.3,72,30,3.92046,43,7,3.9
"193",4,1,3,1,3,2,1,1,1,1,1,2,1,2,2,37.5,48,30,3.92046,48,8.6,3.07136
"194",1,1,5,1,4,3,1,2,3,1,4,2,2,1,1,38.1,52,24,7,54,7.5,2.6
"195",1,1,1,1,3,1,2,2,1,1,4,2,1,2,2,38.2,42,26,3.9759,36,6.9,3.02588
"196",2,1,5,1,3,1,1,2,1,3,2,3,1,2,2,37.9,54,42,3.75414,47,54,1
"197",3,3,3,1,3,3,2,2,3,3,4,3,3,1,1,36.1,88,31.17962,3.9041104668,45,7,4.8
"198",4,3,4,2,5,4,4,2,1,4,5,2,2,1,2,38,90,30,3.92046,55,6.1,3.07136
"199",1,1,2,1,1,2,1,1,1,1,4,2,1,2,1,38.2,52,16,4.1145,43,8.1,2.91218
"200",1,1,4,1,5,3,3,2,3,3,4,2,2,1,2,37.987709,36,32,4,41,5.9,3.0941
"201",1,3,2,1,2,3,4,2,1,3,4,1,1,1,1,38.2,124,88,3.11658,47,8,3.73082
"202",3,3,3,2,5,4,4,2,1,4,5,2,2,1,2,38.259869,96,30,3.92046,60,7.5,3.07136
"203",3,1,3,1,4,2,4,2,2,1,5,1,1,1,2,37.6,68,32,6.5,47,7.2,3.0941
"204",3,3,4,1,5,4,3,2,1,3,4,2,2,1,2,38.1,88,24,4.00362,41,4.6,3.00314
"205",2,3,4,1,4,3,3,2,1,3,4,3,1,1,2,38,108,60,3.50466,50,65,3.41246
"206",2,1,1,2,3,3,1,2,1,3,2,2,1,2,2,38.2,48,31.213636,3.90363900504,34,6.6,3.08515904132
"207",4,4,6,1,2,4,1,1,3,3,4,3,3,1,2,39.3,100,51,2,66,13,2
"208",3,3,2,1,1,4,1,1,1,3,5,2,2,1,2,36.6,42,18,4.08678,52,7.1,2.93492
"209",3,1,2,1,2,3,4,1,1,4,4,3,2,1,1,38.8,124,36,3.8373,50,7.6,3.13958
"210",3,3,4,2,5,4,2,2,1,4,4,3,1,2,1,38.332445,112,24,4.00362,40,5.3,2.6
"211",3,3,3,1,4,4,4,2,1,4,5,2,1,1,2,38.187293,80,25.8221,3.978365694,43,70,3.023857277
"212",1,1,1,1,4,1,3,2,1,2,4,2,2,1,2,38.8,184,84,3.17202,33,3.3,3.68534
"213",2,1,1,1,2,1,1,1,1,1,4,2,3,1,2,37.5,72,26.2473,3.972472422,35,65,2
"214",3,3,4,1,3,4,2,2,3,3,4,2,2,1,1,38.7,96,28,7.5,64,9,3.04862
"215",1,1,1,1,2,3,2,2,1,3,5,1,1,2,2,37.5,52,12,4.16994,36,61,1
"216",3,3,1,1,2,3,1,2,1,3,4,3,2,1,1,40.8,72,42,3.75414,54,7.4,3.2078
"217",3,1,1,1,4,3,2,1,1,4,4,2,1,2,2,38,40,25,3.98976,37,69,3.01451
"218",2,1,1,1,1,3,2,2,1,3,2,2,1,2,1,38.4,48,16,4.1145,39,6.5,2.91218
"219",3,1,3,2,4,4,2,2,3,4,4,3,2,1,1,37.1,75,36,5,48,7.4,3.2
"220",3,1,2,1,3,3,3,2,1,1,5,2,1,1,1,38.3,44,21,4.0452,44,6.5,4.4
"221",3,1,1,1,3,3,1,2,1,1,4,2,3,1,2,38.078429,56,68,3.39378,40,6,3.50342
"222",2,1,3,1,3,3,2,1,1,1,5,1,1,2,1,38.6,68,20,4.05906,38,6.5,2.95766
"223",3,1,2,1,2,3,2,2,3,3,4,3,1,2,1,38.3,54,18,5.4,44,7.2,2.93492
"224",2,3,1,1,3,3,1,1,2,1,5,2,1,1,2,39.3,64,90,6.5,39,6.7,3.75356
"225",3,3,1,1,3,3,2,2,2,3,4,2,2,1,2,37.5,60,50,3.5,35,6.5,3.29876
"226",3,3,6,1,5,4,1,2,3,3,1,3,1,1,2,37.7,80,27.0977,3.960685878,50,55,2
"227",3,3,4,2,5,4,4,3,3,4,4,2,1,1,2,38.278013,100,30,3.92046,52,6.6,3.07136
"228",3,3,3,1,5,3,3,1,1,3,4,3,2,1,1,37.7,120,28,3.94818,65,7,3.04862
"229",1,3,6,2,5,3,2,1,1,3,4,2,2,1,2,38.8,150,50,3.64326,50,6.2,3.29876
"230",3,1,1,1,4,2,2,3,3,3,4,2,3,2,2,38,36,16,2,37,75,1
"231",2,3,3,1,1,3,2,3,1,3,4,2,1,2,2,36.9,50,40,7,37.5,6.5,3.18506
"232",1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,37.8,40,16,4.1145,37,6.8,2.91218
"233",4,3,1,1,2,4,3,2,2,3,4,1,1,2,1,38.2,56,40,7.5,47,7.2,2.5
"234",3,3,5,1,2,3,1,1,1,4,1,2,2,1,1,40,78,31.22214,3.9035211396,66,6.5,3.0852557318
"235",3,4,5,2,2,3,2,2,1,4,5,2,2,1,2,38.141933,70,16,4.1145,60,7.5,2.91218
"236",1,1,1,1,3,1,1,2,1,1,4,2,1,2,1,38.5,54,31.196628,3.90387473592,40,6.8,7
"237",1,1,1,1,3,3,1,2,1,4,5,1,1,1,1,38.5,66,24,4.00362,40,6.7,3.00314
"238",3,1,1,2,4,3,3,1,3,3,4,2,3,1,2,37.8,82,12,4.16994,50,7,2.8667
"239",3,1,1,1,3,2,2,2,1,3,4,1,1,1,1,38,50,36,3.8373,39,6.6,5.3
"240",2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,38.6,45,16,4.1145,43,58,2.91218
"241",3,3,3,1,2,3,3,2,2,3,1,3,2,1,2,38.9,80,44,7,54,6.5,3.23054
"242",1,3,2,1,4,3,3,1,1,1,5,2,2,1,2,37,66,20,4.05906,35,6.9,2.95766
"243",3,3,3,1,3,3,2,2,1,3,4,2,3,2,2,38.178221,78,24,4.00362,43,62,2
